,IDcensus,census_city,state,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,citystate,state_id,lat,lng
263,738,Harrisonburg,Virginia,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016,"Harrisonburg, Virginia",VA,38.4361,-78.8735
264,230,Hartford,Connecticut,125354,125434,125266,125128,124665,124311,123654,122888,122556,122105,"Hartford, Connecticut",CT,41.7661,-72.6834
265,594,Haverhill,Massachusetts,60999,61505,61860,62272,62605,62861,63200,63664,63926,64014,"Haverhill, Massachusetts",MA,42.7838,-71.0871
266,391,Hawthorne,California,84295,84922,85359,85863,86740,87669,87685,87308,86671,86068,"Hawthorne, California",CA,33.9146,-118.3476
267,160,Hayward,California,144835,146935,149406,151753,154376,157999,159331,160324,159760,159203,"Hayward, California",CA,37.6328,-122.0772
268,397,Hemet,California,79090,80226,81033,81718,82541,83305,84121,84809,85148,85334,"Hemet, California",CA,33.7341,-116.9969
269,61,Henderson,Nevada,257452,258752,263278,268274,274255,282167,289480,299314,309518,320189,"Henderson, Nevada",NV,36.0133,-115.038
270,660,Hendersonville,Tennessee,51485,52283,52919,53824,54851,55597,56563,57560,57634,58113,"Hendersonville, Tennessee",TN,36.3063,-86.5998
271,759,Herriman,Utah,22520,23364,24378,26278,28461,30572,35049,39166,44663,51348,"Herriman, Utah",UT,40.4899,-112.0171
272,332,Hesperia,California,90279,91168,91568,91777,92071,92653,93251,94473,95013,95750,"Hesperia, California",CA,34.3975,-117.3147
273,96,Hialeah,Florida,225470,228127,230445,232316,232850,233872,234283,236314,234941,233339,"Hialeah, Florida",FL,25.8696,-80.3046
274,260,High Point,North Carolina,104710,105823,106567,107573,108797,110232,111533,111746,112073,112791,"High Point, North Carolina",NC,35.9907,-79.9938
275,694,Highland,California,53218,53671,53939,54150,54325,54553,54752,55198,55311,55417,"Highland, California",CA,34.1113,-117.1654
276,281,Hillsboro,Oregon,92559,94274,96343,98160,99827,102550,105374,107433,108201,109128,"Hillsboro, Oregon",OR,45.5272,-122.9361
277,745,Hoboken,New Jersey,50057,50769,51481,52177,52463,52839,53649,53662,53134,52677,"Hoboken, New Jersey",NJ,40.7453,-74.0279
278,166,Hollywood,Florida,141013,143421,144998,146038,146978,148313,151630,153371,154381,154817,"Hollywood, Florida",FL,26.0294,-80.1679
279,525,Homestead,Florida,61034,62214,63148,64246,65290,66192,68045,69124,69254,69523,"Homestead, Florida",FL,25.4665,-80.4472
280,393,Hoover,Alabama,80953,81617,82952,83581,84005,84592,84895,85235,85517,85768,"Hoover, Alabama",AL,33.3754,-86.8064
281,4,Houston,Texas,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268,"Houston, Texas",TX,29.7863,-95.3889
282,120,Huntington Beach,California,191296,192995,194174,197107,199610,200653,200284,200938,200126,199223,"Huntington Beach, California",CA,33.696,-118.0025
283,673,Huntington Park,California,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509,"Huntington Park, California",CA,33.98,-118.2167
284,114,Huntsville,Alabama,180941,182327,183748,186001,187834,190333,192412,195420,198125,200574,"Huntsville, Alabama",AL,34.6988,-86.6412
285,599,Idaho Falls,Idaho,57995,58518,58860,59034,59320,59858,60797,61768,62023,62888,"Idaho Falls, Idaho",ID,43.4872,-112.0362
286,246,Independence,Missouri,116891,116917,117318,117281,117505,117260,117268,117197,117017,116672,"Independence, Missouri",MO,39.0871,-94.3501
287,362,Indio,California,79665,81046,82250,83358,85127,86917,88196,89438,90970,91765,"Indio, California",CA,33.7346,-116.2346
288,284,Inglewood,California,109658,110501,110866,110954,110840,110693,110271,109907,109038,108151,"Inglewood, California",CA,33.9566,-118.3444
289,474,Iowa City,Iowa,68050,69201,70182,71454,72831,73497,74587,75690,75696,75130,"Iowa City, Iowa",IA,41.6559,-91.5303
290,72,Irvine,California,213450,220303,229063,236057,247136,255382,265345,276000,281732,287401,"Irvine, California",CA,33.6772,-117.7738
